Tijd (s),Spanning (V)
0.00015999999999999999,0.044
0.000161,0.034
0.00016199999999999993,0.036
0.00016299999999999995,0.042
0.00016399999999999997,0.042
0.000165,0.028
0.00016599999999999991,0.024
0.00016699999999999994,0.034
0.00016799999999999996,0.024
0.000169,0.034
0.00017,0.034
0.00017099999999999993,0.022
0.00017199999999999995,0.024
0.00017299999999999998,0.032
0.000174,0.024
0.00017499999999999992,0.03
0.00017599999999999994,0.03
0.00017699999999999997,0.014
0.000178,0.016
0.00017900000000000001,0.028
0.00017999999999999993,0.034
0.00018099999999999995,0.016
0.00018199999999999998,0.02
0.000183,0.012
0.00018399999999999992,0.012
0.00018499999999999994,0.022
0.00018599999999999997,0.02
0.000187,0.01
0.00018800000000000002,0.012
0.00018899999999999993,0.024
0.00018999999999999996,0.024
0.00019099999999999998,0.012
0.000192,0.012
0.00019299999999999992,0.024
0.00019399999999999995,0.022
0.00019499999999999997,0.01
0.000196,0.008
0.00019700000000000002,0.016
0.00019799999999999993,0.012
0.00019899999999999996,0.02
0.00019999999999999998,0.016
0.000201,0.026
0.00020199999999999992,0.032
0.00020299999999999995,0.02
0.00020399999999999997,0.012
0.000205,0.024
0.00020600000000000002,0.026
0.00020699999999999994,0.016
0.00020799999999999996,0.022
0.00020899999999999998,0.014
0.00021,0.014
0.00021099999999999992,0.024
0.00021199999999999995,0.018
0.00021299999999999997,0.026
0.000214,0.024
0.0002149999999999999,0.036
0.00021599999999999994,0.036
0.00021699999999999996,0.024
0.00021799999999999999,0.03
0.000219,0.02
0.00021999999999999993,0.018
0.00022099999999999995,0.03
0.00022199999999999998,0.026
0.000223,0.01
0.00022399999999999992,0.012
0.00022499999999999994,0.006
0.00022599999999999996,0.008
0.000227,0.016
0.000228,0.018
0.00022899999999999993,0.008
0.00022999999999999995,0.01
0.00023099999999999998,0.018
0.000232,0.018
0.00023299999999999992,0.008
0.00023399999999999994,0.004
0.00023499999999999997,0.016
0.000236,0.01
0.00023700000000000001,0.022
0.00023799999999999993,0.018
0.00023899999999999995,0.006
0.00023999999999999998,0.012
0.000241,0.002
0.00024199999999999992,0.0
0.00024299999999999994,0.022
0.00024399999999999997,0.02
0.000245,0.012
0.000246,0.008
0.00024699999999999993,0.022
0.00024799999999999996,0.024
0.000249,0.016
0.00025,0.024
0.0002509999999999999,0.014
0.00025199999999999995,0.016
0.00025299999999999997,0.006
0.000254,0.002
0.0002549999999999999,0.01
0.00025599999999999993,0.006
0.00025699999999999996,0.014
0.000258,0.014
0.000259,0.008
0.0002599999999999999,0.008
0.00026099999999999995,0.018
0.00026199999999999997,0.008
0.000263,0.022
0.0002639999999999999,0.016
0.00026499999999999994,0.02
0.00026599999999999996,0.016
0.000267,0.024
0.000268,0.02
0.0002689999999999999,0.028
0.00026999999999999995,0.026
0.000271,0.01
0.000272,0.012
0.0002729999999999999,0.002
0.00027399999999999994,0.01
0.00027499999999999996,0.002
0.000276,0.006
0.000277,-0.002
0.0002779999999999999,0.006
0.00027900000000000006,-0.002
0.00028,0.004
0.0002809999999999999,0.016
0.000282,0.018
0.00028299999999999994,0.004
0.00028399999999999986,0.004
0.000285,0.01
0.0002859999999999999,0.01
0.00028700000000000004,-0.004
0.00028799999999999995,-0.002
0.00028899999999999987,0.012
0.00029,0.01
0.0002909999999999999,-0.004
0.00029200000000000005,-0.01
0.00029299999999999997,0.004
0.0002939999999999999,-0.004
0.000295,0.008
0.00029599999999999993,0.01
0.00029700000000000006,-0.006
0.000298,0.004
0.0002989999999999999,-0.01
0.00030000000000000003,-0.01
0.00030099999999999994,0.004
0.00030199999999999986,0.0
0.000303,0.022
0.0003039999999999999,0.018
0.00030500000000000004,0.024
0.00030599999999999996,0.024
0.00030699999999999987,0.008
0.000308,0.012
0.0003089999999999999,0.0
0.00031000000000000005,0.002
0.00031099999999999997,0.012
0.0003119999999999999,0.012
0.000313,0.0
0.00031399999999999993,0.0
0.00031500000000000007,0.008
0.000316,0.006
0.0003169999999999999,-0.008
0.00031800000000000003,-0.01
0.00031899999999999995,0.002
0.00031999999999999986,0.002
0.000321,-0.006
0.0003219999999999999,-0.006
0.00032300000000000004,0.002
0.00032399999999999996,0.0
0.0003249999999999999,-0.006
0.000326,0.002
0.0003269999999999999,-0.006
0.00032800000000000006,-0.008
0.000329,0.0
0.0003299999999999999,-0.006
0.000331,0.004
0.00033199999999999994,0.004
0.00033299999999999985,-0.004
0.000334,0.002
0.0003349999999999999,0.014
0.00033600000000000004,0.014
0.00033699999999999995,0.002
0.00033799999999999987,0.01
0.000339,0.002
0.0003399999999999999,0.01
0.00034100000000000005,0.004
0.00034199999999999996,0.008
0.0003429999999999999,-0.006
0.000344,-0.006
0.00034499999999999993,0.008
0.00034600000000000006,0.002
0.000347,0.01
0.0003479999999999999,0.016
0.000349,0.0
0.00034999999999999994,-0.004
0.00035099999999999986,0.004
0.000352,0.0
0.0003529999999999999,-0.01
0.00035400000000000004,-0.01
0.00035499999999999996,-0.002
0.00035599999999999987,0.0
0.000357,-0.006
0.0003579999999999999,-0.006
0.00035900000000000005,0.006
0.00035999999999999997,-0.002
0.0003609999999999999,-0.014
0.000362,-0.006
0.00036299999999999993,0.008
0.00036400000000000007,0.008
0.000365,0.0
0.0003659999999999999,0.004
0.00036700000000000003,-0.002
0.00036799999999999995,0.004
0.00036899999999999986,-0.004
0.00037,0.002
0.0003709999999999999,0.008
0.00037200000000000004,0.004
0.00037299999999999996,0.012
0.0003739999999999999,0.004
0.000375,0.016
0.0003759999999999999,0.0
0.00037700000000000006,0.012
0.00037799999999999997,0.012
0.0003789999999999999,0.0
0.00038,0.004
0.00038099999999999994,-0.004
0.00038199999999999985,-0.008
0.000383,0.002
